,Botnet,SourceIp,SourcePort,SourceIpAsnNr,TargetIp,TargetPort,SourceIpRegion,SourceIpCity,SourceIpLatitude,SourceIpLongitude,Threat.Confidence,Threat_Classify,Host Address,Prediction
1,B106-CB,175.140.89.227,49927,AS4788,204.95.99.31,1921,14,Kuala Lumpur,3.1667,101.7,High,1,31,1.0
2,B106-Jenxcus,60.54.85.214,24026,AS4788,204.95.99.86,991,NA,,2.5,112.5,High,1,86,1.0
3,B106-MULTI,202.162.25.177,58104,AS18206,204.95.99.109,7777,14,Kuala Lumpur,3.1667,101.7,High,1,109,0.0
4,B106-MULTI,120.141.81.6,53052,AS38322,204.95.99.109,88,12,Batu Caves,3.2333,101.6667,High,1,109,1.0
5,B106-Bladabindi,210.195.121.234,61840,AS4788,204.95.99.26,1333,12,Petaling Jaya,3.0833,101.65,High,1,26,1.0
6,B106-Jenxcus,103.244.49.56,60125,AS132514,204.95.99.86,1888,14,Kuala Lumpur,3.1667,101.7,High,1,86,1.0
7,B106-MULTI,124.13.26.186,64433,AS4788,204.95.99.109,1182,12,Puchong,3.0167,101.6167,High,1,109,1.0
8,B106-Jenxcus,14.1.200.221,50762,AS45960,204.95.99.86,1644,12,Batu Caves,3.2333,101.6667,High,1,86,1.0
9,B106-MULTI,110.159.176.145,60462,AS4788,204.95.99.109,88,12,Petaling Jaya,3.0833,101.65,High,1,109,1.0
10,B106-MULTI,183.171.162.74,43340,AS10030,204.95.99.109,88,NA,,2.5,112.5,High,1,109,1.0
11,B106-CB,103.1.71.54,60967,AS45960,204.95.99.31,288,1,Johor Bahru,1.4655,103.7578,High,1,31,1.0
12,B106-Jenxcus,203.106.151.205,10650,AS4788,204.95.99.86,1644,9,Penang,5.4112,100.3354,High,1,86,1.0
13,B106-MULTI,113.210.11.234,33384,AS9534,204.95.99.109,88,12,Kajang,2.9927,101.7909,High,1,109,1.0
14,B106-MULTI,124.13.72.58,54103,AS4788,204.95.99.109,9092,1,Skudai,1.5333,103.6667,High,1,109,0.0
15,B106-MULTI,175.141.171.242,52886,AS4788,204.95.99.109,88,NA,,2.5,112.5,High,1,109,1.0
16,B106-MULTI,113.210.4.197,55317,AS9534,204.95.99.109,95,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
17,B106-MULTI,175.139.132.102,63830,AS4788,204.95.99.109,1998,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
18,B106-MULTI,115.164.93.112,58506,AS4818,204.95.99.109,333,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
19,B106-MULTI,49.236.193.2,61838,AS17971,204.95.99.109,88,NA,,2.5,112.5,High,1,109,1.0
20,B106-MULTI,175.136.207.44,58188,AS4788,204.95.99.109,88,12,Seri Kembangan,3.0333,101.7167,High,1,109,1.0
21,B106-Malagent,210.186.109.74,64073,AS4788,204.95.99.100,4040,12,Puchong,3.0167,101.6167,Low,0,100,0.0
22,B106-MULTI,183.171.171.81,1776,AS10030,204.95.99.109,88,12,Petaling Jaya,3.0833,101.65,High,1,109,1.0
23,B106-CB,60.48.139.42,51316,AS4788,204.95.99.31,1921,14,Kuala Lumpur,3.1667,101.7,High,1,31,1.0
24,B106-CB,175.143.79.185,8540,AS4788,204.95.99.31,1920,12,Batu Caves,3.2333,101.6667,High,1,31,1.0
25,B106-MULTI,1.9.107.158,6951,AS4788,204.95.99.109,333,11,Kuching,1.55,110.3333,High,1,109,1.0
26,B106-Bladabindi,175.140.183.122,49460,AS4788,204.95.99.26,99,1,Pasir Gudang,1.462,103.9053,High,1,26,1.0
27,B106-MULTI,175.142.9.76,50457,AS4788,204.95.99.109,88,7,Ipoh,4.5841,101.0829,High,1,109,1.0
28,B106-CB,203.106.150.200,9491,AS4788,204.95.99.31,288,9,Penang,5.4112,100.3354,High,1,31,1.0
29,B106-Jenxcus,202.188.143.213,59958,AS4788,204.95.99.86,1888,12,Seri Kembangan,3.0333,101.7167,High,1,86,1.0
30,B106-MULTI,58.26.186.2,50896,AS4788,204.95.99.109,81,12,Cheras,3.05,101.7667,High,1,109,1.0
31,B106-MULTI,175.136.98.237,57545,AS4788,204.95.99.109,333,8,Kangar,6.4414,100.1986,High,1,109,1.0
32,B106-Bladabindi,120.141.11.56,61797,AS38322,204.95.99.26,99,14,Kuala Lumpur,3.1667,101.7,High,1,26,1.0
33,B106-MULTI,119.40.112.36,41585,AS38868,204.95.99.109,82,12,Selangor,3.35,101.25,High,1,109,1.0
34,B106-MULTI,49.124.199.90,54493,AS4818,204.95.99.109,88,12,Bandar Baru Bangi,2.9451,101.7735,High,1,109,1.0
35,B106-CB,14.1.200.148,51033,AS45960,204.95.99.31,333,12,Klang,3.0333,101.45,High,1,31,1.0
36,B106-MULTI,175.140.228.221,52392,AS4788,204.95.99.109,86,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
37,B106-CB,210.195.214.177,59095,AS4788,204.95.99.31,1990,12,Shah Alam,3.0833,101.5333,High,1,31,1.0
38,B106-CB,61.6.56.17,51641,AS2042,204.95.99.31,105,14,Kuala Lumpur,3.1667,101.7,High,1,31,1.0
39,B106-MULTI,203.106.159.161,12909,AS4788,204.95.99.109,88,4,Melaka,2.196,102.2405,High,1,109,1.0
40,B106-MULTI,115.134.20.215,60314,AS4788,204.95.99.109,1890,7,Ipoh,4.5841,101.0829,High,1,109,1.0
41,B106-MULTI,120.141.16.172,2015,AS38322,204.95.99.109,7777,14,Kuala Lumpur,3.1667,101.7,High,1,109,0.0
42,B106-Poison,175.143.111.248,3536,AS4788,204.95.99.130,1881,12,Petaling Jaya,3.0833,101.65,Low,0,130,0.0
43,B106-MULTI,14.1.200.16,52748,AS45960,204.95.99.109,81,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
44,B106-MULTI,1.9.106.190,18545,AS4788,204.95.99.109,88,11,Kuching,1.55,110.3333,High,1,109,1.0
45,B106-MULTI,113.23.138.230,65491,AS38182,204.95.99.109,95,1,Segamat,2.5148,102.8158,High,1,109,1.0
46,B106-Malagent,203.106.150.5,4899,AS4788,204.95.99.100,4040,9,Penang,5.4112,100.3354,Low,0,100,0.0
47,B106-CB,1.9.102.113,7838,AS4788,204.95.99.31,105,4,Melaka,2.196,102.2405,High,1,31,1.0
48,B106-Bladabindi,60.54.30.15,24893,AS4788,204.95.99.26,1177,14,Kuala Lumpur,3.1667,101.7,High,1,26,1.0
49,B106-Jenxcus,113.210.139.155,6785,AS9534,204.95.99.86,1644,14,Kuala Lumpur,3.1667,101.7,High,1,86,1.0
50,B106-MULTI,219.92.172.87,53740,AS4788,204.95.99.109,88,9,Penang,5.4112,100.3354,High,1,109,1.0
51,B106-MULTI,180.74.41.141,51843,AS38322,204.95.99.109,88,5,Nilai,2.8033,101.7972,High,1,109,1.0
52,B106-MULTI,175.140.13.157,49920,AS4788,204.95.99.109,1604,12,Shah Alam,3.0833,101.5333,High,1,109,1.0
53,B106-Jenxcus,175.138.105.166,65118,AS4788,204.95.99.86,1604,9,Penang,5.4112,100.3354,High,1,86,1.0
54,B106-Jenxcus,113.210.10.154,36826,AS9534,204.95.99.86,81,14,Kuala Lumpur,3.1667,101.7,High,1,86,1.0
55,B106-CB,175.137.185.213,63600,AS4788,204.95.99.31,2288,12,Klang,3.0333,101.45,High,1,31,1.0
56,B106-MULTI,203.106.79.100,23063,AS4788,204.95.99.109,88,9,Penang,5.4112,100.3354,High,1,109,1.0
57,B106-CB,180.74.199.148,55871,AS38322,204.95.99.31,288,NA,,2.5,112.5,High,1,31,1.0
58,B106-MULTI,14.1.200.138,50288,AS45960,204.95.99.109,88,12,Klang,3.0333,101.45,High,1,109,1.0
59,B106-MULTI,113.210.139.57,43466,AS9534,204.95.99.109,7777,14,Kuala Lumpur,3.1667,101.7,High,1,109,0.0
60,B106-CB,113.210.136.100,44908,AS9534,204.95.99.31,1921,12,Petaling Jaya,3.0833,101.65,High,1,31,1.0
61,B106-CB,60.53.183.109,14765,AS4788,204.95.99.31,105,9,Ayer Itam,5.4,100.2833,High,1,31,1.0
